backend,device,time,size
numba,cpu,2.9800999982398935e-05,256
numba,cpu,2.990000029967632e-05,256
numba,cpu,2.9159999030525796e-05,256
numba,cpu,2.928100002463907e-05,256
taichi,cpu,0.0004857059993810253,256
taichi,cpu,0.0004620850013452582,256
taichi,cpu,0.0005202169995754957,256
taichi,cpu,0.0005786270012322348,256
taichi,cpu,0.00045622600009664893,256
taichi,cpu,0.0004598360010277247,256
taichi,cpu,0.0005189059993426781,256
taichi,cpu,0.0005249169989838265,256
taichi,cpu,0.00046205599937820807,256
warp,cpu,0.00021432299945445266,256
warp,cpu,0.0001996730006794678,256
warp,cpu,0.00019408200023462996,256
warp,cpu,0.0001939919984579319,256
warp,cpu,0.00019108299966319464,256
warp,cpu,0.00019844199960061815,256
warp,cpu,0.00018920299953606445,256
warp,cpu,0.00019337200137670152,256
warp,cpu,0.00018721299966273364,256
torch,cpu,0.008419974999924307,256
torch,cpu,0.00840654499916127,256
torch,cpu,0.008386823999899207,256
torch,cpu,0.008430575999227585,256
torch,cpu,0.008438034999926458,256
torch,cpu,0.008422394999797689,256
torch,cpu,0.008478116000333102,256
torch,cpu,0.008490645001074881,256
torch,cpu,0.008497426999383606,256
jax,cpu,0.0003934150008717552,256
jax,cpu,0.0003618040009314427,256
jax,cpu,0.00044958499893255066,256
jax,cpu,0.00031246400067175273,256
jax,cpu,0.00029010400066908915,256
jax,cpu,0.0003233940005884506,256
jax,cpu,0.0002985240007546963,256
jax,cpu,0.00036454399923968595,256
jax,cpu,0.0002923840002040379,256
numba,cpu,0.005961445000139065,1024
numba,cpu,0.005995665000227746,1024
numba,cpu,0.0006362269996316172,1024
numba,cpu,4.00200005969964e-05,1024
numba,cpu,3.893100074492395e-05,1024
numba,cpu,3.825999920081813e-05,1024
numba,cpu,3.8951000533415936e-05,1024
numba,cpu,3.864000063913409e-05,1024
numba,cpu,3.942100011045113e-05,1024
taichi,cpu,0.002081815000565257,1024
taichi,cpu,0.0015946500006975839,1024
taichi,cpu,0.0009840229995461414,1024
taichi,cpu,0.0011116440000478178,1024
taichi,cpu,0.0009063310008059489,1024
taichi,cpu,0.0009514419998595258,1024
taichi,cpu,0.0009139210014836863,1024
taichi,cpu,0.0008713309998711338,1024
taichi,cpu,0.0008760410000832053,1024
warp,cpu,0.00042232499981764704,1024
warp,cpu,0.00040737599920248613,1024
warp,cpu,0.0004088950008735992,1024
warp,cpu,0.000404535001507611,1024
warp,cpu,0.0003949549991375534,1024
warp,cpu,0.0005301159999362426,1024
warp,cpu,0.00041198600047209766,1024
warp,cpu,0.0004432849982549669,1024
warp,cpu,0.00042617500002961606,1024
torch,cpu,0.009092864000194822,1024
torch,cpu,0.009022042000651709,1024
torch,cpu,0.009009732000777149,1024
torch,cpu,0.009023043001434417,1024
torch,cpu,0.00906573300017044,1024
torch,cpu,0.009127923998676124,1024
torch,cpu,0.010876144999201642,1024
torch,cpu,0.009103263000724837,1024
torch,cpu,0.00904770300076052,1024
jax,cpu,0.00047483599882980343,1024
jax,cpu,0.0003685550000227522,1024
jax,cpu,0.0004327850001573097,1024
jax,cpu,0.0008789510011411039,1024
jax,cpu,0.00047062599878699984,1024
jax,cpu,0.00038263399983407,1024
jax,cpu,0.0003611649990489241,1024
jax,cpu,0.0003620949992182432,1024
jax,cpu,0.003162028999213362,1024
numba,cpu,0.008961822000856046,4096
numba,cpu,0.006977906999964034,4096
numba,cpu,0.006026224999004626,4096
numba,cpu,0.00803896000070381,4096
numba,cpu,0.006935796000107075,4096
numba,cpu,0.006019644999469165,4096
numba,cpu,0.0059159039992664475,4096
numba,cpu,0.004975331999958144,4096
numba,cpu,0.00598141499904159,4096
taichi,cpu,0.003144379999866942,4096
taichi,cpu,0.0025361910011270083,4096
taichi,cpu,0.0023836799991840962,4096
taichi,cpu,0.0020769559996551834,4096
taichi,cpu,0.0019753450014832197,4096
taichi,cpu,0.0019863950001308694,4096
taichi,cpu,0.002323168999282643,4096
taichi,cpu,0.002115355999194435,4096
taichi,cpu,0.0022262669990595896,4096
warp,cpu,0.0016077700001915218,4096
warp,cpu,0.0013087259994790656,4096
warp,cpu,0.0011868949986819644,4096
warp,cpu,0.0012533350000012433,4096
warp,cpu,0.0011970149989792844,4096
warp,cpu,0.0011882849994435674,4096
warp,cpu,0.0011916650000785012,4096
warp,cpu,0.001186184999824036,4096
warp,cpu,0.0011880950005433988,4096
torch,cpu,0.01258823699936329,4096
torch,cpu,0.012730628999634064,4096
torch,cpu,0.010919876000116346,4096
torch,cpu,0.011053668000386097,4096
torch,cpu,0.010864545000004,4096
torch,cpu,0.011649066000245512,4096
torch,cpu,0.013167823999538086,4096
torch,cpu,0.013114093999320175,4096
torch,cpu,0.013217475001511048,4096
jax,cpu,0.0004894960002275184,4096
jax,cpu,0.00042368499998701736,4096
jax,cpu,0.0003564349990483606,4096
jax,cpu,0.00035535399911168497,4096
jax,cpu,0.00037840499862795696,4096
jax,cpu,0.0003514140007609967,4096
jax,cpu,0.00038536499960173387,4096
jax,cpu,0.00036520499998005107,4096
jax,cpu,0.00042663500062189996,4096
numba,cpu,0.00020294199930503964,16384
numba,cpu,0.00019654300012916792,16384
numba,cpu,0.0001950920013769064,16384
numba,cpu,0.0001936920016305521,16384
numba,cpu,0.00020609300008800346,16384
numba,cpu,0.0001965119990927633,16384
numba,cpu,0.00019973199960077181,16384
numba,cpu,0.0001944920004461892,16384
numba,cpu,0.00019435299873293843,16384
taichi,cpu,0.002453041000990197,16384
taichi,cpu,0.0022180269988893997,16384
taichi,cpu,0.002245257999675232,16384
taichi,cpu,0.0025555920001352206,16384
taichi,cpu,0.0023963799994817236,16384
taichi,cpu,0.0028026049985783175,16384
taichi,cpu,0.0024489209990861127,16384
taichi,cpu,0.002484521000951645,16384
taichi,cpu,0.0023133289996621897,16384
warp,cpu,0.0044059649990231264,16384
warp,cpu,0.00441143500029284,16384
warp,cpu,0.004395025000121677,16384
warp,cpu,0.00437325500024599,16384
warp,cpu,0.004361473998869769,16384
warp,cpu,0.004383514999062754,16384
warp,cpu,0.004383834000691422,16384
warp,cpu,0.004353844000434037,16384
